.xyz file name,wB97X-D/aug-cc-pVQZ AE (kcal/mol)
AE-QM7b-207,-1008.80324
AE-QM7b-208,-1112.876464
AE-QM7b-209,-986.2053197
AE-QM7b-210,-1112.065272
AE-QM7b-211,-980.9862392
AE-QM7b-212,-980.6394309
AE-QM7b-213,-961.337219
AE-QM7b-214,-798.3467911
AE-QM7b-215,-957.4714742
AE-QM7b-216,-831.0425525
AE-QM7b-217,-833.8411469
AE-QM7b-218,-1583.994076
AE-QM7b-219,-1599.975454
AE-QM7b-220,-1603.191382
AE-QM7b-221,-1758.052847
AE-QM7b-222,-1735.894449
AE-QM7b-223,-1737.762481
AE-QM7b-224,-1735.547377
AE-QM7b-225,-1753.608532
AE-QM7b-226,-1737.034609
AE-QM7b-227,-1736.699215
AE-QM7b-228,-1735.360111
AE-QM7b-229,-1735.677534
AE-QM7b-230,-1735.231994
AE-QM7b-231,-1733.873488
AE-QM7b-232,-1734.760444
AE-QM7b-233,-1883.199009
AE-QM7b-234,-1882.538518
AE-QM7b-235,-1882.291533
AE-QM7b-236,-1883.487917
AE-QM7b-237,-1883.251989
AE-QM7b-238,-1441.389062
AE-QM7b-239,-1461.381966
AE-QM7b-240,-1363.082956
AE-QM7b-241,-1471.141232
AE-QM7b-242,-1470.613929
AE-QM7b-243,-1613.946633
AE-QM7b-244,-1588.721408
AE-QM7b-245,-1432.294178
AE-QM7b-246,-1609.818259
AE-QM7b-247,-1327.266842
AE-QM7b-248,-1465.754778
AE-QM7b-249,-1469.497494
AE-QM7b-250,-1613.387998
AE-QM7b-251,-1472.303299
AE-QM7b-252,-1472.571192
AE-QM7b-253,-1468.902358
AE-QM7b-254,-1610.183642
AE-QM7b-255,-1609.993251
AE-QM7b-256,-1589.276233
AE-QM7b-257,-1432.343117
AE-QM7b-258,-1587.162094
AE-QM7b-259,-1429.911969
AE-QM7b-260,-1589.673141
AE-QM7b-261,-1590.294369
AE-QM7b-262,-1436.163248
AE-QM7b-263,-1129.475857
AE-QM7b-264,-1452.889454
AE-QM7b-265,-1293.262392
AE-QM7b-266,-1448.461228
AE-QM7b-267,-1291.514482
AE-QM7b-268,-1293.46591
AE-QM7b-269,-1135.650116
AE-QM7b-270,-1589.682742
AE-QM7b-271,-1432.881044
AE-QM7b-272,-1132.831831
AE-QM7b-273,-977.0939134
AE-QM7b-274,-1275.729613
AE-QM7b-275,-1597.400031
AE-QM7b-276,-1437.704415
AE-QM7b-277,-1599.21536
AE-QM7b-278,-1739.438329
AE-QM7b-279,-1598.928591
AE-QM7b-280,-1443.192863
AE-QM7b-281,-1592.497539
AE-QM7b-282,-1434.819432
AE-QM7b-283,-1597.605463
AE-QM7b-284,-1592.845784
AE-QM7b-285,-1435.354133
AE-QM7b-286,-1589.575439
AE-QM7b-287,-1432.400835
AE-QM7b-288,-1740.093668
AE-QM7b-289,-1598.112021
AE-QM7b-290,-1441.063871
AE-QM7b-291,-1737.456097
AE-QM7b-292,-1580.774722
AE-QM7b-293,-1739.148824
AE-QM7b-294,-1737.239916
AE-QM7b-295,-1580.817072
AE-QM7b-296,-1272.415644
AE-QM7b-297,-1585.900876
AE-QM7b-298,-1442.782985
AE-QM7b-299,-1289.694309
AE-QM7b-300,-1437.714103
AE-QM7b-301,-1278.425215
AE-QM7b-302,-1738.989338
AE-QM7b-303,-1740.756486
AE-QM7b-304,-1595.930175
AE-QM7b-305,-1436.671375
AE-QM7b-306,-1738.652375
AE-QM7b-307,-1594.511346
AE-QM7b-308,-1436.19281
AE-QM7b-309,-1740.187818
AE-QM7b-310,-1736.962089
AE-QM7b-311,-1579.565913
AE-QM7b-312,-1585.10871
AE-QM7b-313,-1439.335013
AE-QM7b-314,-1282.23397
AE-QM7b-315,-1739.329181
AE-QM7b-316,-1739.251213
AE-QM7b-317,-1585.654399
AE-QM7b-318,-1736.528572
AE-QM7b-319,-1579.908787
AE-QM7b-320,-1305.217278
AE-QM7b-321,-1215.054371
AE-QM7b-322,-1198.201705
AE-QM7b-323,-1452.77619
AE-QM7b-324,-1447.672519
AE-QM7b-325,-1468.61808
AE-QM7b-326,-1469.904718
AE-QM7b-327,-1468.318146
AE-QM7b-328,-1476.85129
AE-QM7b-329,-1325.550508
AE-QM7b-330,-1330.90668
AE-QM7b-331,-1480.533791
AE-QM7b-332,-1234.835167
AE-QM7b-333,-1625.112829
AE-QM7b-334,-1225.275065
AE-QM7b-335,-1085.743046
AE-QM7b-336,-1203.469141
AE-QM7b-337,-1459.170502
AE-QM7b-338,-1104.10214
AE-QM7b-339,-1492.588544
AE-QM7b-340,-1108.864875
AE-QM7b-341,-1367.002459
AE-QM7b-342,-1191.13097
AE-QM7b-343,-1348.677508
AE-QM7b-344,-1322.592277
AE-QM7b-345,-1466.072991
AE-QM7b-346,-1470.565059
AE-QM7b-347,-1345.293184
AE-QM7b-348,-1206.767221
AE-QM7b-349,-1204.957465
AE-QM7b-350,-1607.71662
AE-QM7b-351,-1608.306554
AE-QM7b-352,-1344.364335
AE-QM7b-353,-1611.884118
AE-QM7b-354,-1607.992169
AE-QM7b-355,-1607.012925
AE-QM7b-356,-1623.591329
AE-QM7b-357,-1607.894749
AE-QM7b-358,-1608.242204
AE-QM7b-359,-1366.495337
AE-QM7b-360,-1602.908805
AE-QM7b-361,-1601.339809
AE-QM7b-362,-1621.302832
AE-QM7b-363,-1476.977142
AE-QM7b-364,-1479.966604
AE-QM7b-365,-1605.187231
AE-QM7b-366,-1609.453134
AE-QM7b-367,-1365.17502
AE-QM7b-368,-1236.529061
AE-QM7b-369,-1349.313627
AE-QM7b-370,-1338.688181
AE-QM7b-371,-1314.072286
AE-QM7b-372,-1605.244402
AE-QM7b-373,-1478.703358
AE-QM7b-374,-1606.959092
AE-QM7b-375,-1600.400236
AE-QM7b-376,-1226.157905
AE-QM7b-377,-1476.976652
AE-QM7b-378,-1366.813393
AE-QM7b-379,-1246.591969
AE-QM7b-380,-1063.04465
AE-QM7b-381,-1204.583109
AE-QM7b-382,-1207.145863
AE-QM7b-383,-1347.513289
AE-QM7b-384,-1234.288838
AE-QM7b-385,-1607.63404
AE-QM7b-386,-1459.516777
AE-QM7b-387,-1299.932648
AE-QM7b-388,-1479.226558
AE-QM7b-389,-1210.769699
AE-QM7b-390,-1479.268971
AE-QM7b-391,-1482.945605
AE-QM7b-392,-1610.813247
AE-QM7b-393,-1478.633292
AE-QM7b-394,-1370.879066
AE-QM7b-395,-1248.212439
AE-QM7b-396,-1480.190528
AE-QM7b-397,-1352.432718
AE-QM7b-398,-1213.55885
AE-QM7b-399,-1606.642931
AE-QM7b-400,-1605.514166
AE-QM7b-401,-1458.531565
AE-QM7b-402,-1299.086755
AE-QM7b-403,-1605.639039
AE-QM7b-404,-1598.749872
AE-QM7b-405,-1603.104165
AE-QM7b-406,-1456.60227
AE-QM7b-407,-1297.736105
AE-QM7b-408,-1606.197328
AE-QM7b-409,-1609.320241
AE-QM7b-410,-1602.521021
AE-QM7b-411,-1456.73424
AE-QM7b-412,-1299.376373
AE-QM7b-413,-1459.574588
AE-QM7b-414,-1459.515427
AE-QM7b-415,-1604.382565
AE-QM7b-416,-1302.776868
AE-QM7b-417,-1755.180189
AE-QM7b-418,-1038.410815
AE-QM7b-419,-1203.52448
AE-QM7b-420,-1201.730976
AE-QM7b-421,-1042.330556
AE-QM7b-422,-1344.842015
AE-QM7b-423,-1041.880065
AE-QM7b-424,-882.0096765
AE-QM7b-425,-1186.97055
AE-QM7b-426,-1611.394603
AE-QM7b-427,-1612.918118
AE-QM7b-428,-1349.062017
AE-QM7b-429,-1612.50763
AE-QM7b-430,-1346.82788
AE-QM7b-431,-1611.33147
AE-QM7b-432,-1347.234119
AE-QM7b-433,-1344.40223
AE-QM7b-434,-1755.21307
AE-QM7b-435,-1612.632315
AE-QM7b-436,-1352.727638
AE-QM7b-437,-1756.52607
AE-QM7b-438,-1493.234458
AE-QM7b-439,-1756.439958
AE-QM7b-440,-1493.256697
AE-QM7b-441,-1183.042814
AE-QM7b-442,-1457.776855
AE-QM7b-443,-1457.09309
AE-QM7b-444,-1189.524311
AE-QM7b-445,-1611.058161
AE-QM7b-446,-1347.651873
AE-QM7b-447,-1610.817049
AE-QM7b-448,-1346.849604
AE-QM7b-449,-1754.714519
AE-QM7b-450,-1758.035572
AE-QM7b-451,-1491.984466
AE-QM7b-452,-1454.898166
AE-QM7b-453,-1189.79196
AE-QM7b-454,-1756.993936
AE-QM7b-455,-1492.301041
AE-QM7b-456,-1749.219921
AE-QM7b-457,-1750.006891
AE-QM7b-458,-1336.805854
AE-QM7b-459,-1363.888181
AE-QM7b-460,-1333.467369
AE-QM7b-461,-1361.308277
AE-QM7b-462,-1333.658707
AE-QM7b-463,-1477.740524
AE-QM7b-464,-1506.390404
AE-QM7b-465,-1178.039143
AE-QM7b-466,-1207.039407
AE-QM7b-467,-1480.929325
AE-QM7b-468,-1476.867843
AE-QM7b-469,-1506.446458
AE-QM7b-470,-1597.27224
AE-QM7b-471,-1449.793354
AE-QM7b-472,-1290.543559
AE-QM7b-473,-1599.783809
AE-QM7b-474,-1751.054953
AE-QM7b-475,-1610.134552
AE-QM7b-476,-1452.758406
AE-QM7b-477,-1743.527289
AE-QM7b-478,-1608.851108
AE-QM7b-479,-1452.951137
AE-QM7b-480,-1756.679927
AE-QM7b-481,-1609.162142
AE-QM7b-482,-1450.84151
AE-QM7b-483,-1743.892313
AE-QM7b-484,-944.8862489
AE-QM7b-485,-1348.442722
AE-QM7b-486,-1355.172365
AE-QM7b-487,-1356.833924
AE-QM7b-488,-1230.461321
AE-QM7b-489,-1632.205389
AE-QM7b-490,-1498.442225
AE-QM7b-491,-1091.293103
AE-QM7b-492,-1627.615487
AE-QM7b-493,-1629.315744
AE-QM7b-494,-1496.515834
AE-QM7b-495,-1189.113523
AE-QM7b-496,-1322.269264
AE-QM7b-497,-1337.634371
AE-QM7b-498,-1471.490638
AE-QM7b-499,-1471.981703
AE-QM7b-500,-1333.567631
AE-QM7b-501,-1498.657421
AE-QM7b-502,-1469.169912
AE-QM7b-503,-1600.786276
AE-QM7b-504,-1600.709306
AE-QM7b-505,-1602.687095
AE-QM7b-506,-1607.393393
AE-QM7b-507,-1475.79128
AE-QM7b-508,-1611.354569
AE-QM7b-509,-1610.404686
AE-QM7b-510,-1452.505522
AE-QM7b-511,-1744.261386
AE-QM7b-512,-1752.478337
AE-QM7b-513,-1604.157046
AE-QM7b-514,-1445.223193
AE-QM7b-515,-1623.435018
AE-QM7b-516,-1628.893353
AE-QM7b-517,-1235.901213
AE-QM7b-518,-1631.652803
AE-QM7b-519,-1491.24981
AE-QM7b-520,-1502.313322
AE-QM7b-521,-1358.019133
AE-QM7b-522,-1493.742077
AE-QM7b-523,-1464.746782
AE-QM7b-524,-1319.064474
AE-QM7b-525,-1343.316154
AE-QM7b-526,-1340.610204
AE-QM7b-527,-1468.017735
AE-QM7b-528,-1360.508161
AE-QM7b-529,-1175.539001
AE-QM7b-530,-1474.029572
AE-QM7b-531,-1599.19277
AE-QM7b-532,-1452.477668
AE-QM7b-533,-1292.336906
AE-QM7b-534,-1470.832714
AE-QM7b-535,-1203.086088
AE-QM7b-536,-1359.049147
AE-QM7b-537,-1617.735741
AE-QM7b-538,-1471.735578
AE-QM7b-539,-1230.269286
AE-QM7b-540,-1344.098788
AE-QM7b-541,-1238.898211
AE-QM7b-542,-1473.583963
AE-QM7b-543,-1359.878481
AE-QM7b-544,-1602.292992
AE-QM7b-545,-1473.602744
AE-QM7b-546,-1603.002184
AE-QM7b-547,-1601.26166
AE-QM7b-548,-1468.229744
AE-QM7b-549,-1600.318127
AE-QM7b-550,-1596.537579
AE-QM7b-551,-1469.232267
AE-QM7b-552,-1597.628731
AE-QM7b-553,-1438.858135
AE-QM7b-554,-1750.934246
AE-QM7b-555,-1603.60891
AE-QM7b-556,-1444.653891
AE-QM7b-557,-1605.402759
AE-QM7b-558,-1749.816569
AE-QM7b-559,-1605.553504
AE-QM7b-560,-1449.551922
AE-QM7b-561,-1602.515335
AE-QM7b-562,-1445.764138
AE-QM7b-563,-1621.137077
AE-QM7b-564,-1348.826678
AE-QM7b-565,-1615.624011
AE-QM7b-566,-1492.464838
AE-QM7b-567,-1350.317311
AE-QM7b-568,-1222.778789
AE-QM7b-569,-1624.405533
AE-QM7b-570,-1355.918849
AE-QM7b-571,-1623.252113
AE-QM7b-572,-1357.786009
AE-QM7b-573,-1614.785855
AE-QM7b-574,-1491.395065
AE-QM7b-575,-1327.583135
AE-QM7b-576,-1486.607757
AE-QM7b-577,-1351.500719
AE-QM7b-578,-1353.616189
AE-QM7b-579,-1191.876412
AE-QM7b-580,-1320.933699
AE-QM7b-581,-1320.135779
AE-QM7b-582,-1025.683786
AE-QM7b-583,-1162.872364
AE-QM7b-584,-1476.30289
AE-QM7b-585,-1328.725228
AE-QM7b-586,-1166.659602
AE-QM7b-587,-1462.070739
AE-QM7b-588,-1305.615334
AE-QM7b-589,-1485.114362
AE-QM7b-590,-1626.825115
AE-QM7b-591,-1337.565377
AE-QM7b-592,-1483.094449
AE-QM7b-593,-1482.446784
AE-QM7b-594,-1373.993182
AE-QM7b-595,-1080.960494
AE-QM7b-596,-1230.76261
AE-QM7b-597,-1240.275424
AE-QM7b-598,-1494.422779
AE-QM7b-599,-1482.611817
AE-QM7b-600,-1237.911055
AE-QM7b-601,-1231.082687
AE-QM7b-602,-1478.095879
AE-QM7b-603,-1607.53679
AE-QM7b-604,-1344.472077
AE-QM7b-605,-1477.322984
AE-QM7b-606,-1210.384607
AE-QM7b-607,-1475.391297
AE-QM7b-608,-1209.170884
AE-QM7b-609,-1481.199716
AE-QM7b-610,-1605.858063
AE-QM7b-611,-1342.101195
AE-QM7b-612,-1474.972182
AE-QM7b-613,-1211.250674
AE-QM7b-614,-1463.008379
AE-QM7b-615,-1301.713025
AE-QM7b-616,-1141.039608
AE-QM7b-617,-1467.900555
AE-QM7b-618,-1306.703512
AE-QM7b-619,-1466.718716
AE-QM7b-620,-1306.730658
AE-QM7b-621,-1308.930734
AE-QM7b-622,-1151.40998
AE-QM7b-623,-1608.424092
AE-QM7b-624,-1451.758122
AE-QM7b-625,-1627.226629
AE-QM7b-626,-948.4941402
AE-QM7b-627,-783.8079984
AE-QM7b-628,-1096.774875
AE-QM7b-629,-1483.115778
AE-QM7b-630,-1483.091625
AE-QM7b-631,-1324.200003
AE-QM7b-632,-1468.991225
AE-QM7b-633,-1201.59937
AE-QM7b-634,-1482.410759
AE-QM7b-635,-1324.57658
AE-QM7b-636,-1346.766611
AE-QM7b-637,-1349.027881
AE-QM7b-638,-1357.777161
AE-QM7b-639,-1193.206524
AE-QM7b-640,-1359.490979
AE-QM7b-641,-1201.206039
AE-QM7b-642,-1210.623987
AE-QM7b-643,-1327.61655
AE-QM7b-644,-1329.346224
AE-QM7b-645,-1171.718713
AE-QM7b-646,-1236.265046
AE-QM7b-647,-1259.376772
AE-QM7b-648,-1382.744633
AE-QM7b-649,-1397.515031
AE-QM7b-650,-1398.849416
AE-QM7b-651,-1408.552501
AE-QM7b-652,-1260.294859
AE-QM7b-653,-1408.315362
AE-QM7b-654,-1553.618501
AE-QM7b-655,-1271.515416
AE-QM7b-656,-1413.200906
AE-QM7b-657,-1348.761104
AE-QM7b-658,-1208.963513
AE-QM7b-659,-1354.198894
AE-QM7b-660,-1182.386753
AE-QM7b-661,-1394.612422
AE-QM7b-662,-1196.67595
AE-QM7b-663,-1403.012761
AE-QM7b-664,-1202.560673
AE-QM7b-665,-1268.593115
AE-QM7b-666,-1212.023626
AE-QM7b-667,-1537.931371
AE-QM7b-668,-1538.053722
AE-QM7b-669,-1408.509919
AE-QM7b-670,-1542.479783
AE-QM7b-671,-1538.297645
AE-QM7b-672,-1535.430571
AE-QM7b-673,-1414.801421
AE-QM7b-674,-1288.239444
AE-QM7b-675,-1553.335227
AE-QM7b-676,-1413.061556
AE-QM7b-677,-1269.507086
AE-QM7b-678,-1414.50854
AE-QM7b-679,-1539.452288
AE-QM7b-680,-1412.028981
AE-QM7b-681,-1540.131434
AE-QM7b-682,-1285.645252
AE-QM7b-683,-1550.657113
AE-QM7b-684,-1405.321024
AE-QM7b-685,-1408.807581
AE-QM7b-686,-1534.233377
AE-QM7b-687,-1414.498017
AE-QM7b-688,-1539.511844
AE-QM7b-689,-1236.645469
AE-QM7b-690,-1537.386912
AE-QM7b-691,-1340.244502
AE-QM7b-692,-1233.504447
AE-QM7b-693,-1268.755168
AE-QM7b-694,-1411.103144
AE-QM7b-695,-1537.253216
AE-QM7b-696,-1409.283593
AE-QM7b-697,-1353.606394
AE-QM7b-698,-1211.126002
AE-QM7b-699,-1210.89215
AE-QM7b-700,-1338.628418
AE-QM7b-701,-1540.774098
AE-QM7b-702,-1390.752845
AE-QM7b-703,-1230.482229
AE-QM7b-704,-1340.901209
AE-QM7b-705,-1207.143133
AE-QM7b-706,-1341.608248
AE-QM7b-707,-1343.323119
AE-QM7b-708,-1211.756234
AE-QM7b-709,-1271.235054
AE-QM7b-710,-1541.868118
AE-QM7b-711,-1408.296907
AE-QM7b-712,-1355.759419
AE-QM7b-713,-1211.255198
AE-QM7b-714,-1340.746937
AE-QM7b-715,-1535.034686
AE-QM7b-716,-1535.555162
AE-QM7b-717,-1387.966952
AE-QM7b-718,-1227.76575
AE-QM7b-719,-1536.832965
AE-QM7b-720,-1532.39906
AE-QM7b-721,-1385.875102
AE-QM7b-722,-1228.177956
AE-QM7b-723,-1537.915853
AE-QM7b-724,-1538.887905
AE-QM7b-725,-1533.095777
AE-QM7b-726,-1385.971869
AE-QM7b-727,-1228.993302
AE-QM7b-728,-1389.701834
AE-QM7b-729,-1389.275691
AE-QM7b-730,-1534.130799
AE-QM7b-731,-1232.318849
AE-QM7b-732,-1684.914882
AE-QM7b-733,-1268.68362
AE-QM7b-734,-1263.222072
AE-QM7b-735,-1104.684695
AE-QM7b-736,-1407.108517
AE-QM7b-737,-1542.577529
AE-QM7b-738,-1542.972178
AE-QM7b-739,-1415.920453
AE-QM7b-740,-1543.346013
AE-QM7b-741,-1418.524754
AE-QM7b-742,-1409.202074
AE-QM7b-743,-1542.640411
AE-QM7b-744,-1417.848249
AE-QM7b-745,-1409.433898
AE-QM7b-746,-1407.07829
AE-QM7b-747,-1684.888884
AE-QM7b-748,-1542.623048
AE-QM7b-749,-1414.409577
AE-QM7b-750,-1686.648415
AE-QM7b-751,-1555.215339
AE-QM7b-752,-1687.797913
AE-QM7b-753,-1560.137203
AE-QM7b-754,-1553.755252
AE-QM7b-755,-1387.57
AE-QM7b-756,-1388.178056
AE-QM7b-757,-1258.992439
AE-QM7b-758,-1254.564294
AE-QM7b-759,-1540.984305
AE-QM7b-760,-1412.577845
AE-QM7b-761,-1540.908358
AE-QM7b-762,-1411.964191
AE-QM7b-763,-1685.03033
AE-QM7b-764,-1689.943973
AE-QM7b-765,-1553.645552
AE-QM7b-766,-1383.120213
AE-QM7b-767,-1251.437792
AE-QM7b-768,-1687.994635
AE-QM7b-769,-1561.213891
AE-QM7b-770,-1553.851951
AE-QM7b-771,-1676.473284
AE-QM7b-772,-1535.524439
AE-QM7b-773,-1538.990552
AE-QM7b-774,-1678.500238
AE-QM7b-775,-1236.083741
AE-QM7b-776,-1235.846771
AE-QM7b-777,-1379.584371
AE-QM7b-778,-1077.995429
AE-QM7b-779,-1380.642768
AE-QM7b-780,-1679.68743
AE-QM7b-781,-1105.540289
AE-QM7b-782,-1266.893844
AE-QM7b-783,-1105.400707
AE-QM7b-784,-1388.983513
AE-QM7b-785,-1392.417548
AE-QM7b-786,-1395.771709
AE-QM7b-787,-1247.185763
AE-QM7b-788,-1541.990826
AE-QM7b-789,-1384.651835
AE-QM7b-790,-1539.107851
AE-QM7b-791,-1540.379066
AE-QM7b-792,-1383.448064
AE-QM7b-793,-1561.659619
AE-QM7b-794,-1414.3355
AE-QM7b-795,-1251.311438
AE-QM7b-796,-1687.863794
AE-QM7b-797,-1539.946459
AE-QM7b-798,-1381.791155
AE-QM7b-799,-1537.421224
AE-QM7b-800,-1080.34962
AE-QM7b-801,-1078.617799
AE-QM7b-802,-1222.640261
AE-QM7b-803,-1225.987362
AE-QM7b-804,-1226.074541
AE-QM7b-805,-1223.285861
AE-QM7b-806,-1495.229792
AE-QM7b-807,-1359.974219
AE-QM7b-808,-1374.073006
AE-QM7b-809,-1490.49296
AE-QM7b-810,-1355.26735
AE-QM7b-811,-1366.022394
AE-QM7b-812,-1226.205752
AE-QM7b-813,-1492.64116
AE-QM7b-814,-1360.288535
AE-QM7b-815,-1370.89914
AE-QM7b-816,-1375.960441
AE-QM7b-817,-1529.365641
AE-QM7b-818,-1384.828125
AE-QM7b-819,-1414.486484
