System label,Subset,Prediction,Reference
IE-SSI-057PRO-063TYR-1,Training,-1.321334839,-1.688
IE-IL174-140,Training,-93.91052246,-94.848
IE-IL174-76,Training,-77.05871582,-77.444
IE-ARION583-290,Training,-22.86483765,-22.188
AE-QM7b-4280,Training,-1209.21814,-1209.722459
AE-QM7b-7193,Training,-987.6154785,-987.8683031
AE-QM7b-6165,Training,-1332.018677,-1332.976837
AE-QM7b-6378,Training,-1407.145874,-1407.394143
AE-QM7b-272,Training,-1133.62439,-1132.831831
AE-QM7b-4870,Training,-1414.086304,-1413.776935
IE-IL174-75,Training,-78.4375,-77.497
AE-QM7b-1938,Training,-1768.113525,-1767.838775
AE-QM7b-6428,Training,-1470.167847,-1469.755969
AE-QM7b-137,Training,-1257.70105,-1257.327422
AE-QM7b-568,Training,-1222.30957,-1222.778789
AE-QM7b-3268,Training,-1396.103394,-1396.688848
AE-QM7b-3190,Training,-1558.91748,-1558.203263
IE-ARION583-576,Training,-29.81620789,-29.801
AE-QM7b-115,Training,-1198.536377,-1198.954338
AE-QM7b-1310,Training,-1725.657349,-1725.597702
AE-QM7b-2707,Training,-1644.309082,-1644.369798
AE-QM7b-952,Training,-1343.664429,-1343.659881
AE-QM7b-6663,Training,-1265.079346,-1263.917948
AE-QM7b-408,Training,-1606.278809,-1606.197328
IE-ARION583-98,Training,-6.520500183,-6.577
AE-QM7b-4327,Training,-1390.28186,-1390.377385
AE-QM7b-6359,Training,-1443.243286,-1443.242317
AE-QM7b-177,Training,-1120.174194,-1120.684459
AE-QM7b-1665,Training,-1754.498047,-1754.118027
AE-QM7b-6494,Training,-1442.945068,-1442.906339
AE-QM7b-1940,Training,-1900.422119,-1900.422523
AE-QM7b-938,Training,-912.6907349,-911.9877162
AE-QM7b-5900,Training,-1439.33667,-1439.257736
AE-QM7b-6276,Training,-1260.781494,-1261.113311
IE-ARION583-518,Training,-19.53277588,-19.442
AE-QM7b-3578,Training,-1828.513184,-1827.619292
AE-QM7b-2270,Training,-1902.317871,-1902.185668
AE-QM7b-1406,Training,-1743.849609,-1743.493247
AE-QM7b-881,Training,-1480.970947,-1479.231446
AE-QM7b-2284,Training,-1744.042358,-1744.343952
IE-S66-49,Training,-2.987365723,-3.23
AE-QM7b-1857,Training,-1534.55896,-1535.409066
AE-QM7b-4259,Training,-1420.710815,-1420.149535
AE-QM7b-2426,Training,-1785.981567,-1786.148083
AE-QM7b-5805,Training,-1596.567139,-1596.959267
IE-ARION583-187,Training,-1.455383301,-1.951
AE-QM7b-6657,Training,-1107.770752,-1106.811139
AE-QM7b-5231,Training,-1849.043213,-1848.770818
AE-QM7b-6959,Training,-1227.593628,-1226.423834
AE-QM7b-6446,Training,-1268.441406,-1267.608494
AE-QM7b-1220,Training,-2176.067871,-2174.867367
AE-QM7b-2684,Training,-1899.579468,-1899.411778
AE-TAE140-35,Training,-229.8717957,-232.974
AE-QM7b-2241,Training,-1587.202881,-1587.078762
AE-QM7b-4816,Training,-1310.579224,-1312.32833
AE-QM7b-303,Training,-1740.491211,-1740.756486
AE-QM7b-556,Training,-1444.441284,-1444.653891
IE-ARION583-237,Training,-11.20262146,-11.098
AE-QM7b-748,Training,-1543.523804,-1542.623048
AE-QM7b-3013,Training,-1231.864014,-1231.66917
IE-ARION583-231,Training,-35.02494812,-33.569
IE-ARION583-451,Training,-26.80969238,-26.632
AE-QM7b-2058,Training,-1896.324097,-1895.760878
AE-QM7b-775,Training,-1236.557007,-1236.083741
IE-PNICO23-8,Training,-5.553436279,-4.91
AE-QM7b-972,Training,-1409.80896,-1409.160884
AE-QM7b-443,Training,-1456.419434,-1457.09309
AE-QM7b-3584,Training,-1680.751099,-1679.789268
AE-QM7b-1455,Training,-1280.57019,-1278.535687
AE-QM7b-6937,Training,-1223.67749,-1223.178546
AE-QM7b-2754,Training,-1634.561768,-1634.605732
AE-QM7b-2229,Training,-1655.645752,-1655.549937
AE-QM7b-784,Training,-1389.690918,-1388.983513
AE-QM7b-1823,Training,-1627.225952,-1627.101656
AE-QM7b-4811,Training,-1711.698364,-1711.458641
AE-QM7b-5795,Training,-1411.320557,-1410.873064
AE-QM7b-1565,Training,-1744.540161,-1744.315389
AE-QM7b-7153,Training,-1295.452148,-1294.287255
AE-QM7b-6741,Training,-1565.421509,-1563.969426
AE-QM7b-1747,Training,-1384.268799,-1383.448485
AE-QM7b-2703,Training,-1744.25293,-1744.848427
AE-QM7b-1000,Training,-1452.264038,-1451.224506
AE-QM7b-6122,Training,-1284.861084,-1284.36177
AE-QM7b-1981,Training,-1659.533081,-1659.675525
AE-QM7b-3167,Training,-1515.141113,-1514.922574
AE-QM7b-5994,Training,-1439.049438,-1438.352908
IE-RG18-7,Training,-0.919189453,-1.51
IE-ARION583-169,Training,-15.79138756,-15.547
AE-QM7b-821,Training,-1210.762207,-1209.835993
AE-QM7b-345,Training,-1466.348633,-1466.072991
AE-QM7b-5221,Training,-1704.517212,-1704.456436
AE-QM7b-2279,Training,-1904.692505,-1904.402642
AE-QM7b-6352,Training,-1426.104126,-1425.606621
AE-QM7b-7052,Training,-1336.071533,-1336.279285
AE-QM7b-1910,Training,-1662.424683,-1662.48537
IE-HAL59-44,Training,-19.28382874,-20.34
AE-QM7b-4486,Training,-1675.75293,-1675.769578
IE-SSI-034ASN-076SER-1,Training,-1.742630005,-1.631
AE-QM7b-4256,Training,-1624.661377,-1624.823054
AE-QM7b-1168,Training,-1053.032471,-1054.317169
AE-QM7b-3893,Training,-1982.633301,-1981.502154
AE-QM7b-925,Training,-1393.214478,-1393.189578
IE-ARION583-64,Training,-0.459594727,-0.423
AE-QM7b-5854,Training,-1400.251953,-1401.091585
AE-TAE140-61,Training,-317.6421814,-317.647
IE-S66-44,Training,-2.297973633,-2.87
AE-QM7b-4276,Training,-1498.672241,-1497.989029
AE-QM7b-1048,Training,-1306.072021,-1306.656506
AE-QM7b-2719,Training,-1917.045288,-1916.653904
AE-QM7b-1002,Training,-1150.190308,-1150.801082
AE-QM7b-6811,Training,-1397.876099,-1397.920831
AE-QM7b-2473,Training,-1906.166992,-1906.558542
AE-QM7b-3203,Training,-1582.682373,-1582.975582
AE-QM7b-4000,Training,-1838.413574,-1838.217705
AE-QM7b-725,Training,-1534.485107,-1533.095777
AE-QM7b-3080,Training,-1559.013184,-1559.207883
AE-QM7b-3611,Training,-1403.66748,-1402.952439
AE-QM7b-4589,Training,-1580.174927,-1579.637662
IE-ARION583-321,Training,-7.506713867,-8.543
AE-QM7b-6683,Training,-1174.01123,-1174.032956
AE-QM7b-5766,Training,-1520.590454,-1520.546827
AE-QM7b-4825,Training,-1720.449829,-1719.865355
AE-QM7b-3383,Training,-1638.851318,-1638.154808
IE-ARION583-171,Training,-22.96058655,-22.764
AE-QM7b-3844,Training,-1680.827637,-1680.466444
AE-QM7b-4720,Training,-1431.408691,-1432.274311
AE-QM7b-4229,Training,-1623.780518,-1623.56038
AE-QM7b-5267,Training,-1415.225708,-1415.475522
AE-QM7b-6638,Training,-1244.751831,-1243.875622
IE-IL174-101,Training,-100.0384521,-99.811
IE-ARION583-93,Training,-13.13674927,-12.96
AE-QM7b-4451,Training,-1193.668457,-1193.059895
AE-QM7b-2409,Training,-1786.077271,-1785.637998
IE-ARION583-268,Training,-1.646881104,-2.198
AE-QM7b-5169,Training,-1353.657837,-1353.734134
AE-QM7b-3229,Training,-1851.703613,-1851.252216
AE-QM7b-4837,Training,-1329.854736,-1330.470157
AE-QM7b-694,Training,-1412.172729,-1411.103144
AE-QM7b-5583,Training,-1560.527222,-1558.941596
AE-QM7b-2568,Training,-1232.955566,-1233.736874
AE-QM7b-1451,Training,-1879.872925,-1879.736635
AE-QM7b-7184,Training,-1226.099976,-1224.490799
IE-ARION583-313,Training,-7.104568481,-6.425
AE-QM7b-194,Training,-1261.369385,-1261.09682
IE-S22TRM-9,Training,-1.941308975,-1.84243058
AE-QM7b-5902,Training,-1354.961426,-1354.660078
AE-QM7b-926,Training,-1232.564209,-1232.559396
AE-QM7b-2938,Training,-1770.067993,-1770.478499
AE-QM7b-1756,Training,-1653.997314,-1654.100412
AE-QM7b-2486,Training,-2037.326538,-2036.880743
AE-QM7b-6820,Training,-1288.203979,-1287.886843
AE-QM7b-2221,Training,-1626.020996,-1626.393707
IE-S66-56,Training,-3.772506714,-3.8
AE-QM7b-1868,Training,-1756.125854,-1756.02371
AE-QM7b-224,Training,-1735.952759,-1735.547377
AE-QM7b-3870,Training,-1687.798218,-1688.110164
AE-QM7b-1423,Training,-1729.161743,-1729.7025
AE-QM7b-1626,Training,-1765.279419,-1765.190732
AE-QM7b-4627,Training,-1532.39624,-1532.198065
AE-QM7b-3891,Training,-1550.185181,-1550.153084
AE-QM7b-4297,Training,-1391.047852,-1391.467389
AE-QM7b-3017,Training,-1393.556396,-1393.88588
AE-QM7b-1030,Training,-1556.115967,-1555.946913
AE-QM7b-5240,Training,-1460.926758,-1460.912444
AE-QM7b-692,Training,-1233.990845,-1233.504447
AE-QM7b-6284,Training,-1240.395264,-1240.630195
AE-QM7b-5353,Training,-1433.879028,-1433.194896
AE-QM7b-5880,Training,-1234.027954,-1235.014997
AE-QM7b-3683,Training,-1855.265381,-1855.022605
AE-QM7b-4550,Training,-1255.170532,-1253.313292
AE-QM7b-855,Training,-1395.493286,-1393.15236
AE-QM7b-7043,Training,-1201.924561,-1201.935994
AE-QM7b-1292,Training,-1766.522949,-1766.910441
AE-QM7b-1299,Training,-1764.224976,-1764.69678
AE-QM7b-64,Training,-1441.244751,-1440.587509
AE-QM7b-2813,Training,-1640.249268,-1639.575901
AE-QM7b-3423,Training,-1711.831177,-1711.600024
AE-QM7b-439,Training,-1756.971069,-1756.439958
AE-QM7b-1976,Training,-1894.102661,-1893.597505
AE-QM7b-1136,Training,-1162.06311,-1162.483996
AE-QM7b-6348,Training,-1473.365845,-1474.36122
AE-QM7b-3024,Training,-1649.59436,-1649.43371
AE-QM7b-6892,Training,-1367.830078,-1367.065818
AE-QM7b-5631,Training,-1428.325562,-1427.839867
AE-QM7b-2781,Training,-1502.617188,-1504.318684
AE-QM7b-3342,Training,-1511.828125,-1512.432448
AE-QM7b-3754,Training,-1833.683594,-1833.235419
AE-QM7b-1528,Training,-1351.924805,-1350.066561
AE-QM7b-5966,Training,-1697.623291,-1697.981671
AE-QM7b-4637,Training,-1601.220581,-1601.012428
IE-ARION583-269,Training,-19.09233093,-18.659
AE-QM7b-795,Training,-1251.331055,-1251.311438
AE-QM7b-3210,Training,-1848.735352,-1848.575953
AE-QM7b-5087,Training,-1711.257935,-1711.38538
AE-QM7b-3541,Training,-1830.313232,-1830.170437
IE-SSI-101TRP-132VAL-1,Training,-0.36863327,-0.933
AE-QM7b-3813,Training,-1519.603027,-1519.835866
AE-QM7b-4843,Training,-1510.823975,-1511.751526
IE-ARION583-172,Training,-16.25816345,-15.323
AE-QM7b-2853,Training,-1649.843384,-1649.912049
AE-QM7b-3969,Training,-1623.454956,-1623.103144
AE-QM7b-3320,Training,-1498.997803,-1498.833805
IE-IL174-1,Training,-95.74890137,-96.052
AE-QM7b-4936,Training,-1131.39209,-1130.80435
AE-QM7b-5436,Training,-1547.428833,-1547.332653
AE-QM7b-1873,Training,-1507.328003,-1507.430509
IE-SSI-083THR-086MET-1,Training,0.574493408,0.699
AE-QM7b-2131,Training,-1641.569092,-1642.017917
IE-S22TRM-1,Training,-8.981246948,-9.420501443
AE-QM7b-7168,Training,-1147.278198,-1146.690561
AE-QM7b-1421,Training,-1891.247803,-1890.208976
AE-QM7b-1877,Training,-1899.54126,-1899.311755
IE-ARION583-113,Training,-12.60055542,-12.673
AE-QM7b-3397,Training,-1702.275391,-1700.898701
IE-IL174-139,Training,-91.1529541,-92.067
AE-QM7b-6880,Training,-1186.957886,-1187.540875
AE-QM7b-856,Training,-1233.866455,-1232.784763
IE-S66-30,Training,-2.451171875,-2.61
AE-QM7b-6433,Training,-1304.768433,-1302.739262
AE-QM7b-5804,Training,-1741.706055,-1741.930708
AE-TAE140-92,Training,-231.506485,-228.485
AE-QM7b-6746,Training,-1565.180664,-1564.484192
AE-TAE140-62,Training,-120.6627655,-122.618
AE-QM7b-2328,Training,-1326.876953,-1326.63494
AE-QM7b-5227,Training,-1433.312744,-1433.718076
AE-QM7b-5846,Training,-1571.549438,-1571.92944
AE-QM7b-3833,Training,-1519.124268,-1519.996149
AE-QM7b-53,Training,-950.6507568,-951.2095402
AE-QM7b-1568,Training,-1613.84021,-1613.354427
IE-AHB21-10,Training,-6.922645569,-7.97
AE-QM7b-6796,Training,-1202.448608,-1202.416775
IE-CARBHB12-6,Training,-1.41708374,-1.205
AE-QM7b-483,Training,-1744.55249,-1743.892313
AE-QM7b-4714,Training,-1593.484009,-1594.107573
AE-QM7b-5950,Training,-1595.984619,-1595.844985
AE-QM7b-2124,Training,-1339.76355,-1339.514358
AE-QM7b-6205,Training,-1504.590698,-1504.810056
AE-QM7b-109,Training,-1462.894775,-1462.659958
AE-QM7b-3216,Training,-1567.075317,-1566.752182
AE-QM7b-5889,Training,-1254.633179,-1254.563083
AE-QM7b-1534,Training,-1486.12915,-1485.690071
AE-QM7b-657,Training,-1349.677368,-1348.761104
AE-QM7b-2917,Training,-1245.709351,-1246.159249
AE-QM7b-4982,Training,-1322.826782,-1323.619061
IE-SSI-136TRP-165ASP-1,Training,-22.05097198,-23.009
AE-QM7b-853,Training,-1326.946655,-1325.827783
IE-SSI-083ILE-173LEU-1,Training,-0.067024231,-0.481
AE-QM7b-999,Training,-1399.257446,-1398.706553
AE-QM7b-4976,Training,-1319.100952,-1318.274574
AE-QM7b-5403,Training,-1265.797485,-1266.50877
AE-QM7b-6562,Training,-1573.357666,-1572.794892
AE-QM7b-4340,Training,-1264.599243,-1263.957726
AE-QM7b-1156,Training,-1130.044678,-1129.900275
AE-QM7b-5824,Training,-1478.55542,-1479.507686
IE-SSI-013GLU-039ARG-1,Training,-91.72744751,-91.802
AE-QM7b-3530,Training,-1702.141357,-1702.061696
AE-QM7b-1233,Training,-1757.560791,-1757.639448
AE-QM7b-5044,Training,-1596.337402,-1596.005588
IE-SSI-037ARG-152GLU-1,Training,-119.140358,-119.367
AE-QM7b-4262,Training,-1702.371216,-1702.031758
AE-QM7b-5259,Training,-1575.953857,-1576.656451
AE-QM7b-1607,Training,-1624.161987,-1624.838171
AE-QM7b-5989,Training,-1484.703735,-1484.349605
AE-QM7b-6303,Training,-1703.684082,-1703.423559
IE-ARION583-423,Training,-10.39833069,-7.975
AE-QM7b-1474,Training,-1885.50293,-1885.599333
IE-ARION583-394,Training,-1.168136597,-0.879
AE-QM7b-6291,Training,-1284.162109,-1283.776718
AE-QM7b-3626,Training,-1564.164551,-1562.856562
AE-QM7b-4966,Training,-1157.580688,-1155.3933
AE-QM7b-6298,Training,-1560.766602,-1560.937426
AE-QM7b-2178,Training,-1475.921021,-1476.691132
AE-QM7b-4447,Training,-1684.581055,-1684.491951
AE-QM7b-6328,Training,-1576.336914,-1576.217664
AE-QM7b-695,Training,-1538.678833,-1537.253216
AE-QM7b-3043,Training,-1501.448975,-1501.849961
AE-QM7b-1200,Training,-2029.37793,-2028.717469
AE-TAE140-17,Training,-179.9507141,-181.456
AE-QM7b-3475,Training,-1277.104126,-1276.260531
IE-HAL59-25,Training,-6.434326172,-7.53
AE-QM7b-3484,Training,-1827.881226,-1827.684295
AE-TAE140-135,Training,-130.9844971,-134.721
AE-QM7b-6621,Training,-1445.683472,-1444.631583
AE-QM7b-1298,Training,-1907.927368,-1907.473297
IE-ARION583-95,Training,-15.35812378,-15.859
AE-QM7b-3734,Training,-1684.849121,-1684.546274
AE-QM7b-5747,Training,-1411.750122,-1411.532833
AE-QM7b-4231,Training,-1766.525391,-1766.361878
AE-QM7b-405,Training,-1603.272217,-1603.104165
IE-IL174-60,Training,-85.27397156,-84.312
IE-RG18-10,Training,0.69896698,-0.59
