System label,Subset,Prediction,Reference
AE-QM7b-2938,Training,-1770.106323,-1770.478499
AE-QM7b-1756,Training,-1654.071533,-1654.100412
AE-QM7b-2486,Training,-2037.084839,-2036.880743
AE-QM7b-6820,Training,-1288.079468,-1287.886843
AE-QM7b-2221,Training,-1626.092773,-1626.393707
IE-S66-56,Training,-3.906555176,-3.8
AE-QM7b-1868,Training,-1755.960693,-1756.02371
AE-QM7b-224,Training,-1735.502686,-1735.547377
AE-QM7b-3870,Training,-1688.047119,-1688.110164
AE-QM7b-1423,Training,-1729.171265,-1729.7025
AE-QM7b-1626,Training,-1765.075928,-1765.190732
AE-QM7b-4627,Training,-1532.001221,-1532.198065
AE-QM7b-3891,Training,-1550.271362,-1550.153084
AE-QM7b-4297,Training,-1390.750977,-1391.467389
AE-QM7b-3017,Training,-1393.317017,-1393.88588
AE-QM7b-1030,Training,-1556.149414,-1555.946913
AE-QM7b-5240,Training,-1460.771118,-1460.912444
AE-QM7b-692,Training,-1234.096191,-1233.504447
AE-QM7b-6284,Training,-1241.271362,-1240.630195
AE-QM7b-5353,Training,-1434.257202,-1433.194896
AE-QM7b-5880,Training,-1234.178833,-1235.014997
AE-QM7b-3683,Training,-1854.891968,-1855.022605
AE-QM7b-4550,Training,-1254.830688,-1253.313292
AE-QM7b-855,Training,-1395.387939,-1393.15236
AE-QM7b-7043,Training,-1201.579834,-1201.935994
AE-QM7b-1292,Training,-1766.589966,-1766.910441
AE-QM7b-1299,Training,-1764.215454,-1764.69678
AE-QM7b-64,Training,-1440.71814,-1440.587509
AE-QM7b-2813,Training,-1639.856689,-1639.575901
AE-QM7b-3423,Training,-1711.92688,-1711.600024
AE-QM7b-439,Training,-1756.844238,-1756.439958
AE-QM7b-1976,Training,-1893.793823,-1893.597505
AE-QM7b-1136,Training,-1162.127808,-1162.483996
AE-QM7b-6348,Training,-1473.777588,-1474.36122
AE-QM7b-3024,Training,-1649.948608,-1649.43371
AE-QM7b-6892,Training,-1367.336914,-1367.065818
AE-QM7b-5631,Training,-1428.68457,-1427.839867
AE-QM7b-2781,Training,-1502.775146,-1504.318684
AE-QM7b-3342,Training,-1512.555908,-1512.432448
AE-QM7b-3754,Training,-1833.348511,-1833.235419
AE-QM7b-1528,Training,-1352.494507,-1350.066561
AE-QM7b-5966,Training,-1697.984741,-1697.981671
AE-QM7b-4637,Training,-1600.921387,-1601.012428
IE-ARION583-269,Training,-18.54656219,-18.659
AE-QM7b-795,Training,-1251.848022,-1251.311438
AE-QM7b-3210,Training,-1848.151245,-1848.575953
AE-QM7b-5087,Training,-1711.197998,-1711.38538
AE-QM7b-3541,Training,-1829.958984,-1830.170437
IE-SSI-101TRP-132VAL-1,Training,-0.488319397,-0.933
AE-QM7b-3813,Training,-1519.296631,-1519.835866
AE-QM7b-4843,Training,-1511.068115,-1511.751526
IE-ARION583-172,Training,-14.67830658,-15.323
AE-QM7b-2853,Training,-1649.948608,-1649.912049
AE-QM7b-3969,Training,-1623.502808,-1623.103144
AE-QM7b-3320,Training,-1498.806274,-1498.833805
IE-IL174-1,Training,-96.36169434,-96.052
AE-QM7b-4936,Training,-1130.487183,-1130.80435
AE-QM7b-5436,Training,-1546.973999,-1547.332653
AE-QM7b-1873,Training,-1507.083862,-1507.430509
IE-SSI-083THR-086MET-1,Training,0.765991211,0.699
AE-QM7b-2131,Training,-1641.451782,-1642.017917
IE-S22TRM-1,Training,-9.345092773,-9.420501443
AE-QM7b-7168,Training,-1147.069946,-1146.690561
AE-QM7b-1421,Training,-1891.573364,-1890.208976
AE-QM7b-1877,Training,-1899.557983,-1899.311755
IE-ARION583-113,Training,-12.58140564,-12.673
AE-QM7b-3397,Training,-1701.528564,-1700.898701
IE-IL174-139,Training,-91.45935059,-92.067
AE-QM7b-6880,Training,-1187.259399,-1187.540875
AE-QM7b-856,Training,-1233.88562,-1232.784763
IE-S66-30,Training,-1.972427368,-2.61
AE-QM7b-6433,Training,-1304.634399,-1302.739262
AE-QM7b-5804,Training,-1741.471436,-1741.930708
AE-TAE140-92,Training,-222.7502441,-228.485
AE-QM7b-6746,Training,-1565.417603,-1564.484192
AE-TAE140-62,Training,-121.6585541,-122.618
AE-QM7b-2328,Training,-1326.833862,-1326.63494
AE-QM7b-5227,Training,-1433.233765,-1433.718076
AE-QM7b-5846,Training,-1571.496826,-1571.92944
AE-QM7b-3833,Training,-1519.239136,-1519.996149
AE-QM7b-53,Training,-950.9571533,-951.2095402
AE-QM7b-1568,Training,-1613.282471,-1613.354427
IE-AHB21-10,Training,-7.140474319,-7.97
AE-QM7b-6796,Training,-1202.740723,-1202.416775
IE-CARBHB12-6,Training,-1.225585938,-1.205
AE-QM7b-483,Training,-1744.320313,-1743.892313
AE-QM7b-4714,Training,-1593.871826,-1594.107573
AE-QM7b-5950,Training,-1596.314941,-1595.844985
AE-QM7b-2124,Training,-1339.875977,-1339.514358
AE-QM7b-6205,Training,-1504.585938,-1504.810056
AE-QM7b-109,Training,-1462.720093,-1462.659958
AE-QM7b-3216,Training,-1567.008301,-1566.752182
AE-QM7b-5889,Training,-1254.688232,-1254.563083
AE-QM7b-1534,Training,-1485.712646,-1485.690071
AE-QM7b-657,Training,-1349.792358,-1348.761104
AE-QM7b-2917,Training,-1245.273682,-1246.159249
AE-QM7b-4982,Training,-1322.601685,-1323.619061
IE-SSI-136TRP-165ASP-1,Training,-21.78287506,-23.009
AE-QM7b-853,Training,-1326.774292,-1325.827783
IE-SSI-083ILE-173LEU-1,Training,-0.301609039,-0.481
AE-QM7b-999,Training,-1399.262207,-1398.706553
AE-QM7b-4976,Training,-1318.780151,-1318.274574
AE-QM7b-5403,Training,-1266.099121,-1266.50877
AE-QM7b-6562,Training,-1573.805298,-1572.794892
AE-QM7b-4340,Training,-1264.94397,-1263.957726
AE-QM7b-1156,Training,-1128.776001,-1129.900275
AE-QM7b-5824,Training,-1478.665527,-1479.507686
IE-SSI-013GLU-039ARG-1,Training,-92.52216339,-91.802
AE-QM7b-3530,Training,-1702.045654,-1702.061696
AE-QM7b-1233,Training,-1757.206543,-1757.639448
AE-QM7b-5044,Training,-1596.437866,-1596.005588
IE-SSI-037ARG-152GLU-1,Training,-120.1265717,-119.367
AE-QM7b-4262,Training,-1701.968994,-1702.031758
AE-QM7b-5259,Training,-1576.341675,-1576.656451
AE-QM7b-1607,Training,-1624.217041,-1624.838171
AE-QM7b-5989,Training,-1484.624756,-1484.349605
AE-QM7b-6303,Training,-1703.851685,-1703.423559
IE-ARION583-423,Training,-10.15895844,-7.975
AE-QM7b-1474,Training,-1885.751831,-1885.599333
IE-ARION583-394,Training,-1.053237915,-0.879
AE-QM7b-6291,Training,-1284.435059,-1283.776718
AE-QM7b-3626,Training,-1564.28894,-1562.856562
AE-QM7b-4966,Training,-1158.686646,-1155.3933
AE-QM7b-6298,Training,-1561.058716,-1560.937426
AE-QM7b-2178,Training,-1476.138794,-1476.691132
AE-QM7b-4447,Training,-1684.312988,-1684.491951
AE-QM7b-6328,Training,-1576.068848,-1576.217664
AE-QM7b-695,Training,-1538.276733,-1537.253216
AE-QM7b-3043,Training,-1501.372437,-1501.849961
AE-QM7b-1200,Training,-2028.927856,-2028.717469
AE-TAE140-17,Training,-181.3821564,-181.456
AE-QM7b-3475,Training,-1276.711548,-1276.260531
IE-HAL59-25,Training,-6.587524414,-7.53
AE-QM7b-3484,Training,-1827.488647,-1827.684295
AE-TAE140-135,Training,-132.3058319,-134.721
AE-QM7b-6621,Training,-1445.930054,-1444.631583
AE-QM7b-1298,Training,-1907.620972,-1907.473297
IE-ARION583-95,Training,-15.74111938,-15.859
AE-QM7b-3734,Training,-1684.868286,-1684.546274
AE-QM7b-5747,Training,-1411.917603,-1411.532833
AE-QM7b-4231,Training,-1766.544434,-1766.361878
AE-QM7b-405,Training,-1603.030518,-1603.104165
IE-IL174-60,Training,-85.58036804,-84.312
IE-RG18-10,Training,0.124473572,-0.59
